qid,question_text
"Q1","Does the company pay (interim and final/annual) dividends in an equitable and timely manner that is, all shareholders are treated equally and paid within 30 days after being (i) declared for interim dividends and (ii) approved by shareholders at general meetings for final dividends? In case the company has offered Scrip dividend, did the company paid the dividend within 60 days."
"Q2","Do shareholders have the opportunity, evidenced by an agenda item, to approve remuneration (fees, allowances, benefit-in-kind and other emoluments) or any increases in remuneration for the non-executive directors/commissioners?"
"Q3","Does the company provide non-controlling shareholders a right to nominate candidates for board of directors/commissioners?"
"Q4","Does the company allow shareholders to elect directors/commissioners individually?"
"Q5","Does the company disclose the voting procedures used before the start of meeting?"
"Q6","Do the minutes of the most recent AGM record that the shareholders were given the opportunity to ask questions and the questions raised by shareholders and answers given recorded?"
"Q7","Does the company disclose the voting results including approving, dissenting, and abstaining votes for all resolutions/each agenda item for the most recent AGM?"
"Q8","Does the company disclose the list of board members who attended the most recent AGM? "
"Q9","Does the company disclose that all board members and the CEO (if he is not a board member) attended the most recent AGM? "
"Q10","Does the company allow voting in absentia? "
"Q11","Did the company vote by poll (as opposed to by show of hands) for all resolutions at the most recent AGM?"
"Q12","Does the company disclose that it has appointed an independent party (scrutineers/inspectors) to count and/or validate the votes at the AGM?"
"Q13","Does the company make publicly available by the next working day the result of the votes taken during the most recent AGM/EGM for all resolutions?"
"Q14","Does the company provide at least 21 days notice for all AGMs and EGMs? "
"Q15","Does the company provide the rationale and explanation for each agenda item which require shareholders’ approval in the notice of AGM/circulars and/or the accompanying statement?"
"Q16","Does the company give the opportunity for shareholders to place item/s on the agenda of general meetings and/or to request for general meetings subject to a certain percentage?"
"Q17","In cases of mergers, acquisitions and/or takeovers requiring shareholders' approval, does the board of directors/commissioners of the company appoint an independent party to evaluate the fairness of the transaction price?"
"Q18","Does the company disclose its practices to encourage shareholders to engage with the company beyond general meetings? "
"Q19","Where the company has more than one class of shares, does the company publicise the voting rights attached to each class of shares (e.g. through the company website / reports/ the stock exchange/ the regulator's website)?"
"Q20","Does each of the resolutions tabled at the most recent annual general meeting deal with only one item, i.e., there is no bundling of several items into the same resolution?"
"Q21","Are the company's notice of the most recent AGM/circulars fully translated into English and published on the same date as the local-language version?"
"Q22","Are the profiles of directors/commissioners ( at least age, academic qualification, date of first appointment, experience, and directorships in other listed companies) in seeking election/re-election included?"
"Q23","Are the auditors seeking appointment/re-appointment clearly identified? "
"Q24","Were the proxy documents made easily available?"
"Q25","Are the directors / commissioners required to report their dealings in company shares within 3 business days?"
"Q26","Does the company have a policy requiring a committee of independent directors/commissioners to review material RPTs to determine whether they are in the best interests of the company and shareholders?"
"Q27","Does the company have a policy requiring board members (directors/commissioners) to abstain from participating in the board discussion on a particular agenda when they are conflicted?"
"Q28","Does the company have policies on loans to directors and commissioners either forbidding this practice or ensuring that they are being conducted at arm's length basis and at market rates?"
"Q29","Does the company disclose that RPTs are conducted in such a way to ensure that they are fair and at arms' length?"
"Q30","In case of related party transactions requiring shareholders' approval, is the decision made by disinterested shareholders?"
"Q31","Does the company identify/report ESG topics that are material to the organization's strategy?"
"Q32","Does the company identify climate change as an issue? "
"Q33","Does the company adopt an internationally recognized reporting framework or standard for sustainability (i.e. GRI, Integrated Reporting, SASB, IFRS Sustainability Disclosure Standards)?"
"Q34","Does the company disclose quantitative sustainability target? "
"Q35","Does the company disclose sustainability-related performance progress in relation to its previously set targets?"
"Q36","Does the company confirm that its Sustainability Report / Reporting is reviewed and /or approved by the Board or Board Committee? "
"Q37","Does the company engage internal stakeholders to exchange views and gather feedback on sustainability matters that are material to the business of the company?"
"Q38","Does the company engage external stakeholders to exchange views and gather feedback on sustainability matters that are material to the business of the company?"
"Q39","Does the company disclose that the board reviews on an annual basis that the company's capital and debt structure is compatible with its strategic goals and its associated risk appetite?"
"Q40","Does the company disclose a policy and practices that address the existence and scope of the company's efforts to address customers' welfare? "
"Q41","Does the company disclose a policy and practices that address supplier/contractor selection procedures?"
"Q42","Does the company disclose a policy and practices that address the company's efforts to ensure that its value chain is environmentally friendly or is consistent with promoting sustainable development?"
"Q43","Does the company disclose a policy and practices that address the company's efforts to interact with the communities in which they operate?"
"Q44","Does the company disclose a policy and practices that address the company's anti-corruption programmes and procedures? "
"Q45","Does the company disclose a policy and practices that address how creditors' rights are safeguarded? "
"Q46","Does the company have a separate report/section that discusses its efforts on environment/economy and social issues? "
"Q47","Does the company provide contact details via the company's website or Annual Report which stakeholders (e.g. customers, suppliers, general public etc.) can use to voice their concerns and/or complaints for possible violation of their rights?"
"Q48","Does the company explicitly disclose the policies and practices on health, safety and welfare for its employees?"
"Q49","Does the company explicitly disclose the policies and practices on training and development programmes for its employees?"
"Q50","Does the company have a reward/compensation policy that accounts for the performance of the company beyond short-term financial measures?"
"Q51","Does the company have a whistle blowing policy which includes procedures for complaints by employees and other stakeholders concerning alleged illegal and unethical behaviour and provide contact details via the company's website or annual report"
"Q52","Does the company have a policy or procedures to protect an employee/person who reveals alleged illegal/unethical behaviour from retaliation?"
"Q53","Does the information on shareholdings reveal the identity of beneficial owners, holding 5% shareholding or more?"
"Q54","Does the company disclose the direct and indirect (deemed) shareholdings of major and/or substantial shareholders?"
"Q55","Does the company disclose the direct and indirect (deemed) shareholdings of directors (commissioners)?"
"Q56","Does the company disclose the direct and indirect (deemed) shareholdings of senior management?"
"Q57","Does the company disclose details of the parent/holding company, subsidiaries, associates, joint ventures and special purpose enterprises/ vehicles (SPEs)/ (SPVs)?"
"Q58","Does the company's annual report disclose the corporate objectives "
"Q59","Does the company's annual report disclose the financial performance indicators"
"Q60","Does the company's annual report disclose the non-financial performance indicators "
"Q61","Does the company's annual report disclose the dividend policy "
"Q62","Does the company's annual report disclose the biographical details (at least age, academic qualifications, date of first appointment, relevant experience, and any other directorships of listed companies) of all directors/commissioners"
"Q63","Does the Annual Report contain a statement confirming the company's full compliance with the code of corporate governance and where there is non-compliance, identify and explain reasons for each such issue?"
"Q64","Is there disclosure of the fee structure for non-executive directors/commissioners?"
"Q65","Does the company publicly disclose [i.e. annual report or other publicly disclosed documents] details of remuneration of each non-executive director/commissioner?"
"Q66","Does the company disclose its remuneration (fees, allowances, benefit-in-kind and other emoluments) policy/practices (i.e. the use of short term and long term incentives and performance measures) for its executive directors and CEO?"
"Q67","Does the company publicly disclose [i.e. annual report or other publicly disclosed documents] the details of remuneration of each of the executive directors and CEO [if he/she is not a member of the Board]?"
"Q68","Does the company disclose its policy covering the review and approval of material RPTs?"
"Q69","Does the company disclose the name, relationship, nature and value for each material RPTs?"
"Q70","Does the company disclose trading in the company's shares by insiders?"
"Q71","Are the audit and non-audit fees disclosed? "
"Q72","Does the non-audit fee exceed the audit fees? "
"Q73","Does the company use quarterly reporting?"
"Q74","Does the company use company website?"
"Q75","Does the company use analyst's briefing?"
"Q76","Does the company use media briefings /press conferences?"
"Q77","Are the audited annual financial report / statement released within 120 days from the financial year end?"
"Q78","Is the annual report released within 120 days from the financial year end?"
"Q79","Is the true and fairness/fair representation of the annual financial statement/reports affirmed by the board of directors/commissioners and/or the relevant officers of the company?"
"Q80","Does the company have a website disclosing up-to-date information on financial statements/reports (latest quarterly)?"
"Q81","Does the company have a website disclosing up-to-date information on materials provided in briefings to analysts and media?"
"Q82","Does the company have a website disclosing up-to-date information on downloadable annual report?"
"Q83","Does the company have a website disclosing up-to-date information on notice of AGM and/or EGM?"
"Q84","Does the company have a website disclosing up-to-date information on minutes of AGM and/or EGM?"
"Q85","Does the company have a website disclosing up-to-date information on company's constitution (company's by-laws, memorandum and articles of association)?"
"Q86","Does the company disclose the contact details (e.g. telephone, fax, and email) of the officer / office responsible for investor relations?"
"Q87","Does the company disclose its corporate governance policy / board charter?"
"Q88","Are the types of decisions requiring board of directors/commissioners' approval disclosed ?"
"Q89","Are the roles and responsibilities of the board of directors/commissioners clearly stated ?"
"Q90","Does the company have an updated vision and mission statement?"
"Q91","Does the board of directors play a leading role in the process of developing and reviewing the company's strategy at least annually?"
"Q92","Does the board of directors have a process to review, monitor and oversee the implementation of the corporate strategy?"
"Q93","Are the details of the code of ethics or conduct disclosed?"
"Q94","Are all directors/commissioners, senior management and employees required to comply with the code/s?"
"Q95","Does the company have a process to implement and monitor compliance with the code/s of ethics or conduct?"
"Q96","Do independent directors/commissioners make up at least 50% of the board of directors/commissioners?"
"Q97","Does the company have a term limit of nine years or less or 2 terms of five years (The five years term must be required by legislation which pre-existed the introduction of the ASEAN Corporate Governance Scorecard in 2011) each for its independent directors/ commissioners?"
"Q98","Has the company set a limit of five board seats that an individual independent/non-executive director/commissioner may hold simultaneously?"
"Q99","Does the company have any executive directors who serve on more than two boards of listed companies outside of the group?"
"Q100","Does the company have a Nominating Committee? "
"Q101","Is the Nominating Committee comprised of a majority of independent directors/commissioners?"
"Q102","Is the chairman of the Nominating Committee an independent director/commissioner?"
"Q103","Does the company disclose the terms of reference/ governance structure/charter of the Nominating Committee?"
"Q104","Is the meeting attendance of the Nominating Committee disclosed and if so, did the Nominating Committee meet at least twice during the year?"
"Q105","Does the company have a Remuneration Committee?"
"Q106","Is the Remuneration Committee comprised entirely of non-executive directors/commissioners with a majority of independent directors/commissioners ?"
"Q107","Is the chairman of the Remuneration Committee an independent director/commissioner?"
"Q108","Does the company disclose the terms of reference/ governance structure/ charter of the Remuneration Committee?"
"Q109","Is the meeting attendance of the Remuneration Committee disclosed and, if so, did the Remuneration Committee meet at least twice during the year?"
"Q110","Does the company have an Audit Committee? "
"Q111","Is the Audit Committee comprised entirely of non-executive directors/commissioners with a majority of independent directors/commissioners?"
"Q112","Is the chairman of the Audit Committee an independent director/commissioner?"
"Q113","Does the company disclose the terms of reference/governance structure/charter of the Audit Committee?"
"Q114","Does at least one of the independent directors/commissioners of the committee have accounting expertise (accounting qualification or experience)?"
"Q115","Is the meeting attendance of the Audit Committee disclosed and, if so, did the Audit Committee meet at least four times during the year?"
"Q116","Does the Audit Committee have primary responsibility for recommendation on the appointment, and removal of the external auditor?"
"Q117","Are the board of directors meeting scheduled before the start of financial year?"
"Q118","Does the board of directors/commissioners meet at least six times during the year?"
"Q119","Has each of the directors/commissioners attended at least 75% of all the board meetings held during the year?"
"Q120","Does the company require a minimum quorum of at least 2/3 for board decisions? "
"Q121","Did the non-executive directors/commissioners of the company meet separately at least once during the year without any executives present?"
"Q122","Are board papers for board of directors/commissioners meetings provided to the board at least five business days in advance of the board meeting?"
"Q123","Does the company secretary play a significant role in supporting the board in discharging its responsibilities?"
"Q124","Is the company secretary trained in legal, accountancy or company secretarial practices and has kept abreast on relevant developments?"
"Q125","Does the company disclose the criteria used in selecting new directors/commissioners?"
"Q126","Did the company describe the process followed in appointing new directors/commissioners?"
"Q127","Are all directors/commissioners subject to re-election every 3 years or 5 years for listed companies in countries whose legislation prescribes a term of 5 years (The five years term must be required by legislation which pre-existed the introduction of the ASEAN Corporate Governance Scorecard in 2011) each?"
"Q128","Do the shareholders or the Board of Directors approve the remuneration of the executive directors and/or the senior executives?"
"Q129","Does the company have measurable standards to align the performance-based remuneration of the executive directors and senior executives with long-term interests of the company, such as claw back provision and deferred bonuses?"
"Q130","Does the company have a separate internal audit function?"
"Q131","Is the head of internal audit identified or, if outsourced, is the name of the external firm disclosed?"
"Q132","Does the appointment and removal of the internal auditor require the approval of the Audit Committee?"
"Q133","Does the company establish a sound internal control procedures/risk management framework and periodically review the effectiveness of that framework?"
"Q134","Does the Annual Report/Annual CG Report disclose that the board of directors/commissioners has conducted a review of the company's material controls (including operational, financial and compliance controls) and risk management systems?"
"Q135","Does the company disclose the key risks to which the company is materially exposed to (i.e. financial, operational including IT, environmental, social, economic)?"
"Q136","Does the Annual Report/Annual CG Report contain a statement from the board of directors/commissioners or Audit Committee commenting on the adequacy of the company's internal controls/risk management systems?"
"Q137","Do different persons assume the roles of chairman and CEO?"
"Q138","Is the chairman an independent director/commissioner?"
"Q139","Is any of the directors a former CEO of the company in the past 2 years?"
"Q140","Are the roles and responsibilities of the chairman disclosed?"
"Q141","If the Chairman is not independent, has the Board appointed a Lead/Senior Independent Director and has his/her role been defined?"
"Q142","Does at least one non-executive director/commissioner have prior working experience in the major sector that the company is operating in?"
"Q143","Does the company have orientation programmes for new directors/commissioners?"
"Q144","Does the company have a policy and actual practice and programs that encourages directors/commissioners to attend on-going or continuous professional education programmes?"
"Q145","Does the company disclose the process on how the board of directors/commissioners plans for the succession of the CEO/Managing Director/President and key management?"
"Q146","Does the board of directors/commissioners conduct an annual performance assessment of the CEO/Managing Director/President?"
"Q147","Did the company conduct an annual performance assessment of the board of directors/commissioners and disclose the criteria and process followed for the assessment?"
"Q148","Did the company conduct an annual performance assessment of the individual directors/commissioners and disclose the criteria and process followed for the assessment?"
"Q149","Did the company conduct an annual performance assessment of the board committees and disclose the criteria and process followed for the assessment?"
"Q150","Does the company practice real time secure electronic voting in absentia at general meetings of shareholders?"
"Q151","Does the company release its notice of AGM (with detailed agendas and explanatory circulars), as announced to the Exchange, at least 28 days before the date of the meeting?"
"Q152","Does the company disclose how it manages climate-related risks and opportunities?"
"Q153","Does the company disclose that its Sustainability Report / Sustainability Reporting is externally assured?"
"Q154","Does the company disclose the engagement channel with stakeholder groups and how the company responds to stakeholders’ ESG concerns?"
"Q155","Does the company have a unit / division / committee who is specifically responsible to manage the sustainability matters?"
"Q156","Does the company disclose board of directors/commissioners' oversight of sustainability-related risks and opportunities?"
"Q157","Does the company disclose the linkage between executive directors and senior management remuneration and sustainability performance for the previous year?"
"Q158","Is the company’s Whistle Blowing System managed by independent parties / institutions?"
"Q159","Are the audited annual financial report /statement released within 60 days from the financial year end?"
"Q160","Does the company have at least one female independent director/commissioner?"
"Q161","Does the company have a policy and disclose measurable objectives for implementing its board diversity and report on progress in achieving its objectives?"
"Q162","Is the Nominating Committee comprise entirely of independent directors/commissioners?"
"Q163","Does the Nominating Committee undertake the process of identifying the quality of directors aligned with the company's strategic directions?"
"Q164","Does the company use professional search firms or other external sources of candidates (such as director databases set up by director or shareholder bodies) when searching for candidates to the board of directors/commissioners?"
"Q165","Do independent non-executive directors/commissioners make up more than 50% of the board of directors/commissioners for a company with independent chairman?"
"Q166","Does the company disclose that its Board identified �key risk in relation to information technology including disruption, cyber security, and disaster recovery, to ensure that such risks are managed and integrated into the overall risk management framework?"
"Q167","Does the company have a separate board level Risk Committee? "
"Q168","Did the company fail or neglect to offer equal treatment for share repurchases to all shareholders?"
"Q169","Is there evidence of barriers that prevent shareholders from communicating or consulting with other shareholders?"
"Q170","Did the company include any additional and unannounced agenda item into the notice of AGM/EGM?"
"Q171","Was the Chairman of the Board and the Chairmen of all Board Committees and the CEO absent from the most recent General Meeting?"
"Q172","Did the company fail to disclose the existence of shareholders agreement?"
"Q173","Did the company fail to disclose the existence of voting cap?"
"Q174","Did the company fail to disclose the existence of multiple voting rights?"
"Q175","Is a pyramid ownership structure and/ or cross holding structure apparent?"
"Q176","Has there been any conviction of insider trading involving directors/commissioners, management and employees in the past three years?"
"Q177","Has there been any cases of non compliance with the laws, rules and regulations pertaining to material related party transactions in the past three years?"
"Q178","Were there any RPTs that can be classified as financial assistance (i.e not conducted at arms length) to entities other than wholly-owned subsidiary companies?"
"Q179","Have there been any violations of any laws pertaining to labour/employment/ consumer/insolvency/ commercial/competition or environmental issues?"
"Q180","Has the company faced any sanctions by regulators for failure to make announcements within the requisite time period for material events?"
"Q181","Is there any evidence that the company is engaging in greenwashing activities?"
"Q182","Did the company receive a ""qualified opinion"" in its external audit report?"
"Q183","Did the company receive an ""adverse opinion"" in its external audit report?"
"Q184","Did the company receive a ""disclaimer opinion"" in its external audit report?"
"Q185","Has the company in the past year revised its financial statements for reasons other than changes in accounting policies?"
"Q186","Is there any evidence that the company has not complied with any listing rules and regulations apart from disclosure rules over the past year?"
"Q187","Have there been any instances where non-executive directors/commissioner have resigned and raised any issues of governance-related concerns?"
"Q188","Does the Company have any independent directors/commissioners who have served for more than nine years or two terms of five years (The five years term must be required by legislation which pre-existed before the introduction of the ASEAN Corporate Governance Scorecard in 2011) each (which ever is higher) in the same capacity?"
"Q189","Did the company fail to correctly identify the description of all their directors as independent, non-executive, and executive?"
"Q190","Does the company have any independent directors/non-executive/commissioners who serve on a total of more than five boards of publicly-listed companies?"
"Q191","Is any of the directors or senior management a former employee or partner of the current external auditor (in the past 2 years)?"
"Q192","Has the chairman been the company CEO in the last three years? "
"Q193","Do non-executive directors/commissioners receive options, performance shares or bonuses?"
